Name,Win Rate,Loss Rate,Draw Rate
KoalaDPSSprintKoalaTankKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaHealerAOEKoalaTankKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaHealerAOEKoalaHealerAOEKoalaHealerAOEKoalaTankKoalaTankKoalaTankKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaHealerAOEKoalaHealerAOEKoalaHealerAOEKoalaHealerAOEKoalaHealerAOEKoalaTankKoalaTankKoalaTankKoalaTankKoalaTankKoalaTank,0,0,1

