Name,Win Rate,Loss Rate,Draw Rate
KoalaDPSKoalaHealerAOE,1,0,0
KoalaDPS,5,2,11
KoalaHealerAOE,4,1,8
KoalaDPSKoalaTank,0,1,0
KoalaTank,2,4,7
KoalaDPSKoalaHealerKoalaHealerAOEKoalaHealerAOE,0,0,1
KoalaHealer,2,5,9
KoalaDPSKoalaDPSKoalaDPSKoalaDPSSprint,0,0,1
KoalaDPSSprint,3,4,5
KoalaDPSKoalaDPSSprintKoalaDPSSprintKoalaHealer,0,0,1
KoalaDPSKoalaDPS,1,0,0
KoalaDPSSprintKoalaHealer,0,2,0
KoalaHealerKoalaHealerKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaHealer,1,1,0
KoalaDPSKoalaDPSSprint,1,0,0
KoalaHealerKoalaTank,0,1,0
KoalaHealerKoalaHealerAOE,1,1,0
KoalaDPSKoalaDPSKoalaHealerKoalaTank,0,0,1
KoalaHealerAOEKoalaTank,2,0,0
KoalaDPSKoalaHealerKoalaHealerKoalaHealerAOE,0,0,1
KoalaDPSKoalaDPSSprintKoalaHealerAOEKoalaTank,0,0,1
KoalaDPSSprintKoalaDPSSprint,1,1,0
KoalaDPSKoalaDPSKoalaDPSSprintKoalaHealer,0,0,1
KoalaHealerKoalaHealerAOEKoalaHealerAOEKoalaTank,0,0,1
KoalaTankKoalaTank,0,1,0
KoalaHealerAOEKoalaHealerAOEKoalaTankKoalaTank,0,0,1

