Name,Win Rate,Loss Rate,Draw Rate
KoalaDPSKoalaDPSSprint,6,6,0
KoalaDPS,15,36,17
KoalaDPSSprint,44,25,13
KoalaDPSSprintKoalaHealerAOE,9,3,0
KoalaHealerAOE,29,26,23
KoalaHealerKoalaHealerAOE,9,6,0
KoalaHealer,37,36,18
KoalaDPSSprintKoalaDPSSprint,4,2,0
KoalaDPSSprintKoalaHealer,11,5,0
KoalaHealerKoalaHealer,2,5,0
KoalaDPSKoalaTank,3,13,0
KoalaTank,33,35,25
KoalaDPSKoalaHealer,5,5,0
KoalaDPSSprintKoalaTank,10,7,0
KoalaDPSKoalaDPSSprintKoalaHealerKoalaTank,0,0,2
KoalaTankKoalaTank,4,1,0
KoalaDPSKoalaHealerKoalaHealerKoalaHealer,0,0,1
KoalaHealerAOEKoalaTank,4,3,0
KoalaDPSKoalaHealerAOE,1,10,0
KoalaHealerKoalaTank,8,10,0
KoalaHealerKoalaHealerKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaDPSSprintKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaHealerAOEKoalaHealerAOEKoalaHealerAOE,0,0,2
KoalaHealerAOEKoalaHealerAOE,3,2,0
KoalaDPSSprintKoalaHealerKoalaHealerAOEKoalaTank,0,0,2
KoalaHealerKoalaHealerAOEKoalaTankKoalaTank,0,0,2
KoalaDPSKoalaTankKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaDPS,0,1,0
KoalaHealerKoalaHealerKoalaHealerAOEKoalaTank,0,0,1
KoalaDPSKoalaDPSSprintKoalaHealerAOEKoalaHealerAOE,0,0,1
KoalaDPSKoalaDPSSprintKoalaHealerAOEKoalaTank,0,0,1
KoalaDPSKoalaDPSKoalaDPSSprintKoalaDPSSprint,0,0,1
KoalaDPSKoalaDPSKoalaHealerKoalaTank,0,0,1
KoalaDPSKoalaDPSKoalaHealerKoalaHealer,0,0,1
KoalaDPSSprintKoalaHealerAOEKoalaHealerAOEKoalaTank,0,0,1
KoalaDPSSprintKoalaHealerAOEKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaDPSSprintKoalaDPSSprintKoalaHealerAOE,0,0,1
KoalaHealerAOEKoalaHealerAOEKoalaTankKoalaTank,0,0,1
KoalaHealerKoalaHealerKoalaHealerAOEKoalaHealerAOE,0,0,1
KoalaDPSKoalaHealerAOEKoalaTankKoalaTank,0,0,1

