Name,Win Rate,Loss Rate,Draw Rate
KoalaDPSSprintKoalaHealerKoalaHealerAOEKoalaHealerAOE,0,0,1
KoalaDPSKoalaDPSKoalaDPSSprintKoalaDPSSprintKoalaHealerKoalaHealerAOEKoalaHealerAOEKoalaTank,0,0,1
KoalaDPSKoalaDPSKoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaHealerKoalaHealerKoalaHealerAOEKoalaHealerAOEKoalaTank,0,0,1
KoalaDPSKoalaDPSKoalaDPSKoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaHealerKoalaHealerKoalaHealerAOEKoalaHealerAOEKoalaTankKoalaTankKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaHealerKoalaHealerKoalaHealerAOE,0,0,1

