Name,Win Rate,Loss Rate,Draw Rate
KoalaDPSSprintKoalaHealerKoalaHealerAOEKoalaTank,0,0,11
KoalaDPSSprint,86,90,134
KoalaHealer,96,47,177
KoalaHealerAOE,66,36,226
KoalaTank,56,87,164
KoalaDPSKoalaDPSSprintKoalaTankKoalaTank,0,0,4
KoalaDPS,60,104,179
KoalaDPSKoalaDPSKoalaTankKoalaTank,0,0,4
KoalaHealerAOEKoalaTankKoalaTankKoalaTank,0,0,3
KoalaHealerAOEKoalaTank,15,10,0
KoalaDPSKoalaHealer,14,16,0
KoalaTankKoalaTank,3,10,0
KoalaDPSKoalaTank,11,18,0
KoalaHealerKoalaHealerKoalaHealerAOEKoalaTank,0,0,7
KoalaDPSKoalaDPS,2,16,0
KoalaDPSSprintKoalaTank,13,27,0
KoalaDPSSprintKoalaHealer,22,11,0
KoalaHealerKoalaHealerAOE,19,2,0
KoalaDPSKoalaHealerKoalaHealerAOEKoalaTank,0,0,8
KoalaHealerKoalaHealerKoalaHealerKoalaHealerAOE,0,0,1
KoalaHealerAOEKoalaHealerAOE,3,1,0
KoalaDPSKoalaDPSSprint,17,28,0
KoalaHealerKoalaTank,11,12,0
KoalaDPSSprintKoalaDPSSprint,11,6,0
KoalaHealerKoalaHealer,15,3,0
KoalaDPSKoalaDPSKoalaDPSSprintKoalaHealer,0,0,3
KoalaDPSKoalaHealerAOE,14,10,0
KoalaDPSKoalaHealerAOEKoalaHealerAOEKoalaHealerAOE,0,0,6
KoalaDPSSprintKoalaDPSSprintKoalaHealerAOEKoalaHealerAOE,0,0,4
KoalaDPSKoalaDPSKoalaDPSKoalaHealer,0,0,4
KoalaDPSKoalaDPSSprintKoalaDPSSprintKoalaHealerAOE,0,0,3
KoalaDPSKoalaDPSKoalaHealerKoalaHealerAOE,0,0,2
KoalaDPSSprintKoalaHealerAOE,12,12,0
KoalaHealerKoalaHealerAOEKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaDPSKoalaHealerKoalaTank,0,0,2
KoalaDPSKoalaHealerAOEKoalaTankKoalaTank,0,0,5
KoalaHealerKoalaHealerAOEKoalaHealerAOEKoalaTank,0,0,8
KoalaDPSKoalaDPSKoalaDPSKoalaHealerAOE,0,0,5
KoalaDPSKoalaHealerAOEKoalaHealerAOEKoalaTank,0,0,7
KoalaTankKoalaTankKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaHealerKoalaHealerKoalaHealerAOE,0,0,8
KoalaHealerKoalaHealerAOEKoalaHealerAOEKoalaHealerAOE,0,0,3
KoalaDPSSprintKoalaHealerKoalaHealerKoalaTank,0,0,3
KoalaDPSKoalaDPSKoalaHealerAOEKoalaHealerAOE,0,0,4
KoalaDPSSprintKoalaHealerKoalaTankKoalaTank,0,0,6
KoalaDPSKoalaDPSKoalaDPSSprintKoalaHealerAOE,0,0,4
KoalaDPSKoalaDPSSprintKoalaHealerKoalaHealer,0,0,2
KoalaDPSKoalaDPSSprintKoalaHealerKoalaHealerAOE,0,0,8
KoalaDPSKoalaHealerKoalaHealerAOEKoalaHealerAOE,0,0,8
KoalaDPSKoalaDPSSprintKoalaHealerAOEKoalaHealerAOE,0,0,4
KoalaDPSSprintKoalaHealerKoalaHealerKoalaHealer,0,0,4
KoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaHealerAOE,0,0,2
KoalaHealerKoalaHealerKoalaHealerAOEKoalaHealerAOE,0,0,5
KoalaDPSKoalaDPSSprintKoalaHealerAOEKoalaTank,0,0,4
KoalaDPSSprintKoalaHealerAOEKoalaHealerAOEKoalaTank,0,0,8
KoalaDPSKoalaHealerKoalaHealerKoalaTank,0,0,2
KoalaDPSKoalaDPSKoalaDPSKoalaDPSSprint,0,0,4
KoalaHealerAOEKoalaHealerAOEKoalaHealerAOEKoalaTank,0,0,1
KoalaDPSKoalaDPSSprintKoalaHealerKoalaTank,0,0,5
KoalaDPSKoalaDPSSprintKoalaDPSSprintKoalaTank,0,0,5
KoalaDPSKoalaDPSSprintKoalaDPSSprintKoalaHealer,0,0,2
KoalaDPSSprintKoalaHealerKoalaHealerKoalaHealerAOE,0,0,3
KoalaHealerAOEKoalaHealerAOEKoalaTankKoalaTank,0,0,3
KoalaDPSKoalaDPSKoalaDPSSprintKoalaTank,0,0,1
KoalaDPSSprintKoalaDPSSprintKoalaHealerAOEKoalaTank,0,0,2
KoalaDPSKoalaDPSKoalaHealerKoalaHealer,0,0,2
KoalaDPSSprintKoalaDPSSprintKoalaHealerKoalaHealerAOE,0,0,2
KoalaDPSKoalaDPSKoalaHealerAOEKoalaTank,0,0,2
KoalaDPSSprintKoalaDPSSprintKoalaDPSSprintKoalaDPSSprint,0,0,1
KoalaDPSKoalaHealerKoalaHealerKoalaHealer,0,0,1
KoalaDPSSprintKoalaDPSSprintKoalaHealerKoalaTank,0,0,2
KoalaDPSSprintKoalaHealerKoalaHealerAOEKoalaHealerAOE,0,0,2
KoalaDPSKoalaTankKoalaTankKoalaTank,0,0,2
KoalaHealerKoalaHealerKoalaHealerKoalaHealer,0,0,1
KoalaDPSKoalaHealerKoalaTankKoalaTank,0,0,3
KoalaHealerKoalaHealerKoalaTankKoalaTank,0,0,3
KoalaHealerAOEKoalaHealerAOEKoalaHealerAOEKoalaHealerAOE,0,0,2
KoalaDPSSprintKoalaTankKoalaTankKoalaTank,0,0,1
KoalaDPSSprintKoalaDPSSprintKoalaHealerKoalaHealer,0,0,1
KoalaHealerKoalaHealerKoalaHealerKoalaTank,0,0,1
KoalaDPSSprintKoalaHealerAOEKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaDPSKoalaDPSSprintKoalaDPSSprint,0,0,1
KoalaDPSSprintKoalaDPSSprintKoalaTankKoalaTank,0,0,1
KoalaDPSKoalaDPSKoalaDPSKoalaTank,0,0,1

